genre_id,name_genre
0,Drama                                                                                               
1,Romance                                                                                             
2,School                                                                                              
3,Supernatural                                                                                        
4,Action                                                                                              
5,Adventure                                                                                           
6,Fantasy                                                                                             
7,Magic                                                                                               
8,Military                                                                                            
9,Shounen                                                                                             
10,Comedy                                                                                              
11,Historical                                                                                          
12,Parody                                                                                              
13,Samurai                                                                                             
14,Sci-Fi                                                                                              
15,Thriller                                                                                            
16,Sports                                                                                              
17,Super                                                                                               
18,Power                                                                                               
19,Space                                                                                               
20,Slice                                                                                               
21,of                                                                                                  
22,Life                                                                                                
23,Mecha                                                                                               
24,Music                                                                                               
25,Mystery                                                                                             
26,Seinen                                                                                              
27,Martial                                                                                             
28,Arts                                                                                                
29,Vampire                                                                                             
30,Shoujo                                                                                              
31,Horror                                                                                              
32,Police                                                                                              
33,Psychological                                                                                       
34,Demons                                                                                              
35,Ecchi                                                                                               
36,Josei                                                                                               
37,Ai                                                                                                  
38,Game                                                                                                
39,Dementia                                                                                            
40,Harem                                                                                               
41,Cars                                                                                                
42,Kids                                                                                                
